seq,mode,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,fscore@10cm,fscore@1cm,fscore@20cm,fscore@2cm,fscore@50cm,fscore@5cm,precision@10cm,precision@1cm,precision@20cm,precision@2cm,precision@50cm,precision@5cm,amb_n_points,amb_accuracy_median_m,n_ambiguous_measurements,mode2_selected_frac,mode_correct_frac,mode2_correct_frac,primary_correct_frac,bimodal_over_primary,oracle_within_tau_frac,selection_cost_mean_m,dist_selected_median_m,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_err_median_deg,trans_err_median,psnr,ssim,lpips,num_GS
pipes,unimodal,1700,0.03205321190699688,0.0485260782956964,0.15016952168811323,0.15849908757148368,0.0010186552184839317,0.29943629692862883,0.0069728793695979785,0.5166534950386867,0.05566301909694319,0.8752941176470588,0.1511764705882353,0.9864705882352941,0.32588235294117646,1.0,0.6664705882352941,237.0,0.0497393567520679,391.0,0.12531969309462915,0.5933503836317136,0.4489795918367347,0.6061381074168798,-0.012787723785166238,0.7237851662404092,0.021563059874238885,0.04068106405152331,0.14,0.4882,0.6963,0.5209255814552307,0.019466977566480637,16.447891235351562,0.793061375617981,0.27947282791137695,1868375.0
pipes,drop_ambiguous,1704,0.030013553884964204,0.047862183086880686,0.14803168943540795,0.15912076955469354,0.0010410426507273859,0.2996147355629477,0.00723124804254348,0.5157700454497176,0.056788832832414975,0.8761737089201878,0.15375586854460094,0.9876760563380281,0.34624413145539906,1.0,0.6713615023474179,245.0,0.052433349784623995,410.0,0.17073170731707318,0.5780487804878048,0.4,0.6121951219512195,-0.034146341463414664,0.7268292682926829,0.020713087179255293,0.0425116380879348,0.1471,0.5032,0.7046,0.48944973945617676,0.01848437264561653,15.909076690673828,0.7895344495773315,0.3237345218658447,1865376.0
pipes,bimodal,1707,0.0360062741124782,0.051728437302146206,0.15449053520924236,0.14991494377229886,0.0008036554843746411,0.29589493466936406,0.005716824412286085,0.5143490426828148,0.04738441008244251,0.8676039835969537,0.12302284710017575,0.9830111306385472,0.27943760984182775,1.0,0.6414762741652021,248.0,0.056823885908179356,411.0,0.17518248175182483,0.5498783454987834,0.3194444444444444,0.6131386861313869,-0.06326034063260344,0.7591240875912408,0.026888043619418472,0.04998534627129771,0.1455,0.5016,0.7047,0.5182487368583679,0.014735015109181404,14.954814910888672,0.792502760887146,0.2964768409729004,1960123.0
playground,none,1194,0.11259072852421931,0.34635831316002624,1.7684961495887508,0.02587708860786474,3.455119277477475e-05,0.08477938427129597,0.0003144934844188702,0.20412786446937603,0.0048446603184773875,0.45226130653266333,0.038525963149078725,0.6624790619765494,0.09631490787269682,0.8073701842546064,0.25711892797319935,,,,,,,,,,,,0.018,0.086,0.1771,2.632507801055908,0.12794797122478485,14.059379577636719,0.523663341999054,0.4874260425567627,4961971.0
playground,unimodal,800,0.39334712968114405,0.5397366143088058,1.5283079750727777,0.002169690697579777,6.90951716894851e-06,0.01345005806011928,3.721642733102392e-05,0.07160569189514014,0.00037230032766759704,0.0725,0.00625,0.25,0.0125,0.60125,0.03625,339.0,0.47415035110459536,523.0,0.20267686424474188,0.44933078393881454,0.4528301886792453,0.4684512428298279,-0.01912045889101338,0.05736137667304015,0.2687450849233977,0.44405739714796444,0.0,0.0,0.0015,33.944515228271484,29.648340225219727,9.208639144897461,0.4593132436275482,0.706882119178772,1861964.0
playground,drop_ambiguous,1111,0.1534502835455032,0.37552597547215827,1.764483118835305,0.01688829604339268,2.4034504468715388e-05,0.06688138328783061,0.0002001490815585252,0.18708666916552488,0.002914199556333826,0.3465346534653465,0.024302430243024302,0.6012601260126013,0.0594059405940594,0.8136813681368137,0.17641764176417643,631.0,0.16154563635864955,1291.0,0.19054996127033308,0.4872192099147947,0.3943089430894309,0.5274980635166537,-0.04027885360185901,0.284275755228505,0.21087788448359476,0.18557891736770327,0.0028,0.0333,0.0842,10.633901596069336,0.31117457151412964,13.247797966003418,0.5097501277923584,0.5018667578697205,5276100.0
playground,bimodal,900,0.1743081546406674,0.37073449100396855,1.6994086973285447,0.009440791835177022,8.112964812787737e-06,0.04884029974482031,6.875674445007505e-05,0.16195229571719802,0.0012933083637728727,0.31333333333333335,0.012222222222222223,0.5588888888888889,0.03111111111111111,0.8044444444444444,0.13777777777777778,479.0,0.17856528869382216,836.0,0.22009569377990432,0.49760765550239233,0.45108695652173914,0.5191387559808612,-0.0215311004784689,0.1638755980861244,0.1672755674625068,0.20971807411216908,0.0,0.0075,0.0249,17.06183433532715,1.128105640411377,11.780288696289062,0.47921285033226013,0.5998565554618835,4339255.0
relief,none,1443,0.034050937386224264,0.054910781196791464,0.11250456435374422,0.04965898365380659,0.00012577781322213702,0.08914378507967954,0.0009560879094175434,0.15265415882811653,0.014208811616304372,0.9362439362439362,0.0887040887040887,0.9743589743589743,0.23423423423423423,0.9799029799029799,0.7525987525987526,,,,,,,,,,,,0.0508,0.1841,0.2792,1.0014688968658447,0.057482052594423294,21.953083038330078,0.80573570728302,0.2957281768321991,2118546.0
relief,unimodal,1443,0.029234164984734787,0.047308608172962396,0.12097597622638703,0.05098427113995161,0.00017397815694335694,0.08953493090324327,0.001347914975167828,0.16287741670190972,0.016147752729115648,0.9369369369369369,0.12474012474012475,0.972972972972973,0.31115731115731116,0.9882189882189882,0.7900207900207901,15.0,0.21424482587270927,18.0,0.1111111111111111,0.6666666666666666,0.5,0.6666666666666666,0.0,0.05555555555555555,0.06268467186088872,0.23983012673576998,0.0498,0.1827,0.2788,0.6577883958816528,0.07229054719209671,21.571063995361328,0.8001840710639954,0.30480214953422546,2188857.0
relief,drop_ambiguous,1442,0.05125674207173209,0.07078246957452676,0.1427685482244751,0.04160054261143417,3.334202430093377e-05,0.08524623191895567,0.000265754575895618,0.15670230545843508,0.006245597485219092,0.9056865464632455,0.02288488210818308,0.9694868238557559,0.06865464632454923,0.9840499306518724,0.47711511789181693,14.0,0.3478145219612804,20.0,0.25,0.75,0.8,0.6,0.15000000000000002,0.15,0.09837527805837551,0.3010499077683285,0.0506,0.1843,0.28,0.9710928201675415,0.06275352090597153,21.835607528686523,0.8005729913711548,0.29885515570640564,2081518.0
