sequence,depth_model,gap_thresh,job_id,n_points,accuracy_median_m,accuracy_mean_m,accuracy_p95_m,precision@2.5cm,precision@5cm,recall@5cm,fscore@2.5cm,fscore@5cm,psnr,ssim,lpips,num_GS,pose_auc_@1.0_deg,pose_auc_@2.5_deg,pose_auc_@5.0_deg,rot_error_median_deg,trans_error_median,num_depth_factors_unimodal,num_depth_factors_bimodal,num_depth_factors_dropped_ambiguous,num_depth_factors_skipped
office2,drop_ambiguous,0.15,9869466,6765.0,0.5932287283947062,0.7450963611566931,2.033675571954726,0.3633407243163341,0.3868440502586844,0.085551,0.060442532132649364,0.14011533493231093,34.223751068115234,0.9480106830596924,0.06024264171719551,1016626.0,0.6784,0.8543,0.917,0.0680416077375412,0.0048056235536932945,57544.0,0.0,2606.0,424.0
office2,none,0.0,9869461,6879.0,0.5883218519068357,0.7403865173487023,2.029212120317936,0.3423462712603576,0.3706934147405146,0.079114,0.055079552545840745,0.13039820088648066,33.80692672729492,0.945205807685852,0.06352672725915909,975881.0,0.6296,0.8284,0.9027,0.08586666733026505,0.005429606884717941,0.0,0.0,0.0,0.0
office2,unimodal,0.0,9869462,6686.0,0.5931017357921353,0.7464204460777023,2.032541402232166,0.36733472928507327,0.3899192342207598,0.084772,0.059978117969399114,0.13926624694312367,34.38639831542969,0.9478266835212708,0.06130701303482056,990921.0,0.6859,0.8573,0.9185,0.07051892578601837,0.0036559111904352903,59751.0,0.0,0.0,424.0
office3,bimodal,0.05,9869509,6582.0,0.427567426740216,0.8093018288263046,2.716586738633654,0.25463384989364934,0.284412032816773,0.09273,0.05298677652799426,0.1398599228313139,34.63703536987305,0.9495546817779541,0.05567653477191925,764931.0,0.8263,0.9295,0.9647,0.06309355795383453,0.0026707628276199102,48107.0,7400.0,0.0,1038.0
office3,bimodal,0.10,9869510,6554.0,0.427662462708604,0.8092308391554872,2.711862885888915,0.25465364662801343,0.28364357644186755,0.09242,0.0521765974324248,0.13941440212202869,34.26120376586914,0.9490077495574951,0.05764295905828476,773551.0,0.8343,0.933,0.9665,0.0573628768324852,0.0030318470671772957,50737.0,4678.0,0.0,1038.0
office3,bimodal,0.15,9869511,6528.0,0.430642710763796,0.8122471525805404,2.7183050651102567,0.2545955882352941,0.28661151960784315,0.093762,0.053156059129039195,0.14129936978355565,34.5452995300293,0.9489895105361938,0.05648444965481758,764802.0,0.8241,0.9287,0.9643,0.06131387874484062,0.0033329203724861145,52057.0,3123.0,0.0,1038.0
office3,drop_ambiguous,0.05,9869506,6641.0,0.4294877972148482,0.8097010589185496,2.712143506359642,0.24649902123174222,0.2806806203884957,0.092066,0.05167365169526344,0.1386525890952641,34.46342468261719,0.949059009552002,0.055755533277988434,756481.0,0.8192,0.9266,0.9632,0.05950619652867317,0.0031832680106163025,48136.0,0.0,7510.0,1038.0
office3,drop_ambiguous,0.10,9869507,6605.0,0.4322671649581901,0.8096169579991541,2.7096336518179913,0.24965934897804692,0.280999242997729,0.092218,0.05189491424228612,0.1388638315991325,34.23461151123047,0.9487123489379883,0.05549561604857445,770369.0,0.8291,0.9309,0.9654,0.056641027331352234,0.0029123001731932163,50747.0,0.0,4781.0,1038.0
office3,drop_ambiguous,0.15,9869508,6571.0,0.43241692820043165,0.8115708154489811,2.7173298199467046,0.24897275909298433,0.2826053873078679,0.092663,0.051817442731457046,0.1395644498166868,34.51725769042969,0.9487460851669312,0.05595771595835686,780017.0,0.82,0.927,0.9634,0.05668497830629349,0.002804527059197426,52047.0,0.0,3194.0,1038.0
office3,none,0.0,9869504,6792.0,0.4307024454730709,0.8127395831901008,2.719690482424473,0.22541224970553592,0.270170789163722,0.087414,0.047078457292802446,0.13209012284437283,33.46864318847656,0.9433768391609192,0.06069767475128174,799711.0,0.777,0.909,0.9544,0.07955804467201233,0.004382013343274593,0.0,0.0,0.0,0.0
